Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              norm_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       9.740ms        29.40%       9.740ms      30.437us           320
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       6.772ms        20.44%       6.772ms      21.163us           320
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.538ms         7.66%       2.538ms       7.465us           340
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         4.95%       1.640ms      13.669us           120
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         4.95%       1.640ms      13.669us           120
                                       strided_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.537ms         4.64%       1.537ms      12.808us           120
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us       1.105ms         3.33%       1.105ms       6.904us           160
                                     _strided_ffn_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     889.669us         2.69%     889.669us       7.414us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     780.104us         2.35%     780.104us      12.002us            65
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us     651.341us         1.97%     651.341us       1.809us           360
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     631.779us         1.91%     631.779us      10.530us            60
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     607.368us         1.83%     607.368us       9.344us            65
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     493.668us         1.49%     493.668us       3.085us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     423.180us         1.28%     423.180us       0.882us           480
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     341.118us         1.03%     341.118us       1.003us           340
                                     attention_residual         0.00%       0.000us         0.00%       0.000us       0.000us     249.413us         0.75%     249.413us       4.157us            60
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     248.355us         0.75%     248.355us       1.552us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.532us         0.73%     242.532us       0.630us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     231.173us         0.70%     231.173us       1.445us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     219.072us         0.66%     219.072us       1.369us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     219.052us         0.66%     219.052us       1.369us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     213.444us         0.64%     213.444us       1.334us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     212.831us         0.64%     212.831us       1.373us           155
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     208.607us         0.63%     208.607us       1.304us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.939us         0.60%     198.939us       0.577us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     177.282us         0.54%     177.282us      17.728us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     148.032us         0.45%     148.032us      29.606us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.604us         0.40%     133.604us       0.835us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     130.050us         0.39%     130.050us       0.813us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.407us         0.39%     129.407us       0.809us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 34.506ms
Self CUDA time total: 33.127ms
