-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                               aten::mm         5.64%       3.760ms         8.08%       5.388ms      17.609us       5.300ms        49.13%       5.300ms      17.319us           306
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.902ms        17.63%       1.902ms      29.715us            64
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.443ms        13.38%       1.443ms      22.199us            65
                                              aten::mul         7.64%       5.099ms        13.52%       9.017ms       8.910us       1.130ms        10.48%       1.130ms       1.117us          1012
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     788.323us         7.31%     788.323us       1.048us           752
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     785.921us         7.28%     785.921us      15.718us            50
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     597.125us         5.53%     597.125us       0.966us           618
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     570.562us         5.29%     570.562us      11.887us            48
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     564.131us         5.23%     564.131us      11.753us            48
                     aten::_efficient_attention_forward         0.74%     491.179us         1.88%       1.256ms      18.469us     481.441us         4.46%     481.441us       7.080us            68
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     481.441us         4.46%     481.441us       7.080us            68
                                              aten::add         3.73%       2.485ms         6.41%       4.274ms       8.480us     474.635us         4.40%     474.635us       0.942us           504
                                aten::native_layer_norm         1.64%       1.091ms         5.22%       3.485ms      25.624us     402.276us         3.73%     452.774us       3.329us           136
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us     402.276us         3.73%     402.276us       2.958us           136
                                aten::cudnn_convolution         2.22%       1.481ms         3.89%       2.596ms      39.334us     392.798us         3.64%     392.798us       5.951us            66
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     356.904us         3.31%     356.904us       1.029us           347
                                              aten::sub         2.15%       1.435ms         3.71%       2.474ms       8.245us     289.082us         2.68%     289.082us       0.964us           300
                                              aten::cat         2.96%       1.974ms         6.06%       4.045ms      29.526us     282.789us         2.62%     282.789us       2.064us           137
                                            aten::fill_         1.14%     758.482us         4.15%       2.766ms      10.398us     198.437us         1.84%     199.173us       0.749us           266
                                           aten::arange         2.19%       1.458ms        10.30%       6.869ms      12.581us     193.952us         1.80%     387.904us       0.710us           546
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     192.321us         1.78%     192.321us       0.943us           204
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     185.538us         1.72%     185.538us       1.933us            96
                                            aten::copy_         1.12%     749.049us         2.47%       1.648ms       9.362us     175.334us         1.63%     175.334us       0.996us           176
                           aten::_weight_norm_interface         0.42%     280.795us         1.60%       1.068ms      16.189us     151.840us         1.41%     151.840us       2.301us            66
void at::native::(anonymous namespace)::weight_norm_...         0.00%       0.000us         0.00%       0.000us       0.000us     151.840us         1.41%     151.840us       2.301us            66
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     144.067us         1.34%     144.067us       0.746us           193
                                      aten::bitwise_and         0.83%     552.919us         1.53%       1.021ms       7.504us     133.474us         1.24%     133.474us       0.981us           136
                                               aten::ge         1.23%     823.376us         2.00%       1.333ms       9.805us     128.515us         1.19%     128.515us       0.945us           136
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     116.958us         1.08%     116.958us       1.008us           116
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     108.827us         1.01%     108.827us       3.401us            32
                               aten::linalg_vector_norm         0.85%     569.344us         1.37%     910.921us      14.233us     100.965us         0.94%     100.965us       1.578us            64
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     100.965us         0.94%     100.965us       1.578us            64
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     100.034us         0.93%     100.034us       1.000us           100
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us      98.049us         0.91%      98.049us       3.064us            32
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      97.539us         0.90%      97.539us       0.712us           137
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 66.701ms
Self CUDA time total: 10.788ms
