Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      20.602ms        35.84%      20.602ms      64.381us           320
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      10.422ms        18.13%      10.422ms      32.068us           325
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       6.590ms        11.46%       6.590ms      18.055us           365
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       3.270ms         5.69%       3.270ms      27.246us           120
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.591ms         4.51%       2.591ms       7.622us           340
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       2.344ms         4.08%       2.344ms      19.534us           120
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         2.85%       1.640ms       2.411us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.254ms         2.18%       1.254ms      19.285us            65
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.168ms         2.03%       1.168ms      19.464us            60
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us       1.014ms         1.76%       1.014ms       6.336us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     608.798us         1.06%     608.798us       1.581us           385
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     516.772us         0.90%     516.772us       3.230us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     458.562us         0.80%     458.562us       0.955us           480
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     423.626us         0.74%     423.626us       1.629us           260
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     385.700us         0.67%     385.700us       1.134us           340
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     320.739us         0.56%     320.739us       1.145us           280
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     301.056us         0.52%     301.056us       2.509us           120
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     282.630us         0.49%     282.630us       1.766us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     275.363us         0.48%     275.363us       1.080us           255
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     262.053us         0.46%     262.053us       1.638us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     253.061us         0.44%     253.061us       1.582us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     249.890us         0.43%     249.890us       1.612us           155
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     233.856us         0.41%     233.856us       1.462us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     228.797us         0.40%     228.797us       1.430us           160
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     219.869us         0.38%     219.869us       1.374us           160
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     218.401us         0.38%     218.401us      21.840us            10
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     206.696us         0.36%     206.696us       0.599us           345
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     192.836us         0.34%     192.836us       1.071us           180
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     174.208us         0.30%     174.208us      34.842us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     146.530us         0.25%     146.530us       0.916us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 59.282ms
Self CUDA time total: 57.485ms
