Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      12.860ms        31.95%      12.860ms      40.187us           320
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       6.420ms        15.95%       6.420ms      19.753us           325
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       4.803ms        11.93%       4.803ms      13.158us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.552ms         6.34%       2.552ms       7.507us           340
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       2.411ms         5.99%       2.411ms      20.091us           120
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.426ms         3.54%       1.426ms       2.097us           680
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       1.342ms         3.33%       1.342ms      11.186us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     971.238us         2.41%     971.238us      14.942us            65
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     888.007us         2.21%     888.007us       5.550us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     843.558us         2.10%     843.558us      14.059us            60
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     497.889us         1.24%     497.889us       3.112us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     426.779us         1.06%     426.779us       0.889us           480
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     365.034us         0.91%     365.034us       1.404us           260
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     348.349us         0.87%     348.349us       1.025us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     292.516us         0.73%     292.516us       2.438us           120
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     265.056us         0.66%     265.056us       0.947us           280
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     259.773us         0.65%     259.773us       1.019us           255
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     250.941us         0.62%     250.941us       0.652us           385
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     248.291us         0.62%     248.291us       1.552us           160
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     243.097us         0.60%     243.097us       1.519us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     227.490us         0.57%     227.490us       1.422us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     220.549us         0.55%     220.549us       1.378us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     220.419us         0.55%     220.419us       1.422us           155
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     215.561us         0.54%     215.561us       1.347us           160
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     209.818us         0.52%     209.818us       1.311us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     200.928us         0.50%     200.928us       0.582us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     188.961us         0.47%     188.961us      18.896us            10
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     179.039us         0.44%     179.039us       0.995us           180
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     152.641us         0.38%     152.641us      30.528us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     136.034us         0.34%     136.034us       0.850us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 41.847ms
Self CUDA time total: 40.253ms
