Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      10.934ms        36.07%      10.934ms      34.168us           320
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       5.413ms        17.86%       5.413ms      16.916us           320
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       3.611ms        11.91%       3.611ms       9.893us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.534ms         8.36%       2.534ms       7.454us           340
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       1.830ms         6.04%       1.830ms      15.251us           120
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.314ms         4.33%       1.314ms       1.932us           680
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       1.004ms         3.31%       1.004ms       8.368us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     746.244us         2.46%     746.244us      12.437us            60
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     633.157us         2.09%     633.157us      10.553us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     453.880us         1.50%     453.880us       0.873us           520
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     332.062us         1.10%     332.062us       0.977us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     287.679us         0.95%     287.679us       2.397us           120
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.578us         0.79%     240.578us       0.625us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     222.144us         0.73%     222.144us      14.810us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.042us         0.64%     195.042us       0.574us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.252us         0.56%     169.252us       0.940us           180
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.960us         0.36%     108.960us      21.792us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.400us         0.11%      34.400us       6.880us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.912us         0.08%      22.912us       1.146us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.785us         0.08%      22.785us       1.139us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.473us         0.07%      21.473us       1.074us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.034us         0.07%      20.034us       1.002us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      19.264us         0.06%      19.264us       0.963us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.439us         0.06%      17.439us       1.163us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.755us         0.05%      14.755us       0.738us            20
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.529us         0.05%      14.529us       2.906us             5
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.128us         0.04%      12.128us       0.606us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.074us         0.04%      11.074us       1.107us            10
                                            aten::copy_         0.12%      37.607us         1.13%     355.319us      35.532us      10.913us         0.04%      11.873us       1.187us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.913us         0.04%      10.913us       1.091us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 31.367ms
Self CUDA time total: 30.313ms
