Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      14.928ms        45.13%      14.928ms      20.733us           720
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       5.810ms        17.56%       5.810ms      36.310us           160
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.639ms         7.98%       2.639ms      10.996us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.555ms         7.73%       2.555ms       7.516us           340
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       1.787ms         5.40%       1.787ms       9.928us           180
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.304ms         3.94%       1.304ms       1.917us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     918.213us         2.78%     918.213us      15.304us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     590.531us         1.79%     590.531us       0.868us           680
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     413.571us         1.25%     413.571us       2.585us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     359.882us         1.09%     359.882us       1.058us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     344.492us         1.04%     344.492us       1.013us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     313.858us         0.95%     313.858us       1.308us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     244.095us         0.74%     244.095us       0.634us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.474us         0.59%     196.474us       0.578us           340
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     183.811us         0.56%     183.811us      18.381us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     101.985us         0.31%     101.985us      20.397us             5
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      55.553us         0.17%      55.553us      11.111us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      28.160us         0.09%      28.160us       5.632us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.169us         0.08%      27.169us       1.358us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      26.336us         0.08%      26.336us       5.267us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.210us         0.08%      26.210us       1.311us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.225us         0.07%      24.225us       0.969us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.329us         0.07%      23.329us       1.166us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.247us         0.06%      21.247us       1.062us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.322us         0.06%      20.322us       1.016us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      17.281us         0.05%      17.281us       3.456us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.317us         0.05%      16.317us       1.088us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.912us         0.05%      14.912us       0.746us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.384us         0.04%      12.384us       0.619us            20
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.712us         0.04%      11.712us       1.171us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 34.163ms
Self CUDA time total: 33.075ms
