Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     130.437ms        36.36%     130.437ms     217.394us           600
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      68.921ms        19.21%      68.921ms     281.309us           245
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      42.604ms        11.88%      42.604ms     125.307us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      31.368ms         8.74%      31.368ms     522.792us            60
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us      26.016ms         7.25%      26.016ms     144.532us           180
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      13.060ms         3.64%      13.060ms      81.625us           160
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us      10.826ms         3.02%      10.826ms     180.426us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.728ms         2.15%       7.728ms     386.421us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.226ms         1.74%       6.226ms      18.312us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       4.815ms         1.34%       4.815ms       7.081us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       4.683ms         1.31%       4.683ms      78.054us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us       3.680ms         1.03%       3.680ms       5.411us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us       3.654ms         1.02%       3.654ms      10.746us           340
void precomputed_convolve_sgemm<float, 512, 6, 8, 3,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.508ms         0.70%       2.508ms      15.201us           165
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     532.662us         0.15%     532.662us       0.602us           885
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     287.619us         0.08%     287.619us       1.555us           185
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     263.233us         0.07%     263.233us       0.684us           385
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     234.560us         0.07%     234.560us       1.340us           175
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     227.742us         0.06%     227.742us       0.670us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     224.775us         0.06%     224.775us       1.405us           160
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     177.121us         0.05%     177.121us       1.107us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     106.171us         0.03%     106.171us       0.643us           165
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.776us         0.01%      31.776us       1.589us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.367us         0.01%      30.367us       1.518us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.648us         0.01%      23.648us       1.182us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.464us         0.01%      22.464us       1.123us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.992us         0.01%      20.992us       1.050us            20
                                            aten::copy_         0.01%      45.236us         0.36%       1.297ms     129.655us      19.713us         0.01%      23.234us       2.323us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.713us         0.01%      19.713us       1.971us            10
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      19.170us         0.01%      19.170us       0.959us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 363.485ms
Self CUDA time total: 358.764ms
