Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      13.828ms        24.28%      13.828ms      40.081us           345
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      11.201ms        19.67%      11.201ms      35.003us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       8.177ms        14.36%       8.177ms      24.051us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.625ms        13.39%       7.625ms      42.359us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.549ms         7.99%       4.549ms      13.380us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       2.018ms         3.54%       2.018ms      33.641us            60
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         3.53%       2.010ms       2.955us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.460ms         2.56%       1.460ms      24.332us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.344ms         2.36%       1.344ms       2.298us           585
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     985.380us         1.73%     985.380us      16.423us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     807.493us         1.42%     807.493us      40.375us            20
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     564.548us         0.99%     564.548us       1.086us           520
                                            _ffn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     499.525us         0.88%     499.525us       1.561us           320
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     473.668us         0.83%     473.668us       1.393us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     312.940us         0.55%     312.940us       1.739us           180
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     266.888us         0.47%     266.888us       0.693us           385
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     262.891us         0.46%     262.891us       0.572us           460
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     193.416us         0.34%     193.416us       0.569us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     105.025us         0.18%     105.025us      21.005us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      38.241us         0.07%      38.241us       7.648us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.887us         0.05%      29.887us       1.494us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.898us         0.05%      28.898us       1.445us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.318us         0.04%      24.318us       0.973us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.727us         0.04%      21.727us       1.086us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.767us         0.04%      20.767us       1.038us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.488us         0.03%      19.488us       0.974us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.985us         0.03%      17.985us       1.199us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      13.182us         0.02%      13.182us       0.659us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.583us         0.02%      11.583us       0.579us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.569us         0.02%       9.569us       0.957us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 59.568ms
Self CUDA time total: 56.953ms
