Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.514ms        22.40%      14.514ms      42.070us           345
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      11.404ms        17.60%      11.404ms      35.636us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       7.908ms        12.21%       7.908ms      15.817us           500
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.884ms        12.17%       7.884ms      43.799us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.557ms         7.03%       4.557ms      13.404us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.327ms         5.14%       3.327ms      20.164us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.011ms         3.10%       2.011ms       2.957us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.721ms         2.66%       1.721ms      28.687us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.541ms         2.38%       1.541ms       2.055us           750
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.461ms         2.26%       1.461ms      24.355us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     988.193us         1.53%     988.193us      16.470us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     916.970us         1.42%     916.970us       1.231us           745
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     889.092us         1.37%     889.092us       1.201us           740
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     809.156us         1.25%     809.156us      53.944us            15
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     780.626us         1.20%     780.626us       1.346us           580
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     498.179us         0.77%     498.179us       1.465us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     472.240us         0.73%     472.240us       1.389us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     468.092us         0.72%     468.092us       1.463us           320
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     276.508us         0.43%     276.508us       0.601us           460
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     265.676us         0.41%     265.676us       0.690us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     235.039us         0.36%     235.039us       1.469us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     207.614us         0.32%     207.614us       1.298us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     204.607us         0.32%     204.607us       1.279us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.729us         0.30%     196.729us       0.570us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     186.948us         0.29%     186.948us       1.206us           155
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     173.026us         0.27%     173.026us       1.081us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     159.682us         0.25%     159.682us       1.331us           120
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.948us         0.21%     134.948us       0.843us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.625us         0.21%     134.625us       0.841us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.383us         0.20%     132.383us       0.827us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 68.547ms
Self CUDA time total: 64.785ms
