Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      13.817ms        24.42%      13.817ms      40.049us           345
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      11.183ms        19.76%      11.183ms      34.947us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.950ms        14.05%       7.950ms      44.165us           180
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       7.561ms        13.36%       7.561ms      22.237us           340
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.548ms         8.04%       4.548ms      13.376us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         3.55%       2.010ms       2.956us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.721ms         3.04%       1.721ms      28.679us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.458ms         2.58%       1.458ms      24.296us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.341ms         2.37%       1.341ms       2.293us           585
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.237ms         2.19%       1.237ms      20.619us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     805.894us         1.42%     805.894us      40.295us            20
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     564.219us         1.00%     564.219us       1.085us           520
                                            _ffn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     500.066us         0.88%     500.066us       1.563us           320
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     474.015us         0.84%     474.015us       1.394us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     312.540us         0.55%     312.540us       1.736us           180
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     265.151us         0.47%     265.151us       0.689us           385
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     264.929us         0.47%     264.929us       0.576us           460
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     193.920us         0.34%     193.920us       0.570us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.736us         0.19%     108.736us      21.747us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      38.112us         0.07%      38.112us       7.622us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.051us         0.05%      30.051us       1.503us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.833us         0.05%      28.833us       1.442us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.934us         0.04%      23.934us       0.957us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.666us         0.04%      21.666us       1.083us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.320us         0.04%      20.320us       1.016us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.361us         0.03%      19.361us       0.968us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.860us         0.03%      17.860us       1.191us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      13.378us         0.02%      13.378us       0.669us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.489us         0.02%      11.489us       0.574us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.536us         0.02%       9.536us       0.954us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 59.066ms
Self CUDA time total: 56.582ms
