Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.286ms        22.04%      14.286ms      41.409us           345
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      11.391ms        17.57%      11.391ms      35.597us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       7.908ms        12.20%       7.908ms      15.815us           500
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.886ms        12.17%       7.886ms      43.814us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.562ms         7.04%       4.562ms      13.418us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.331ms         5.14%       3.331ms      20.188us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.008ms         3.10%       2.008ms       2.953us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.719ms         2.65%       1.719ms      28.658us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.542ms         2.38%       1.542ms       2.056us           750
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.460ms         2.25%       1.460ms      24.328us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.189ms         1.83%       1.189ms       1.596us           745
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     986.596us         1.52%     986.596us      16.443us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     888.778us         1.37%     888.778us       1.201us           740
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     809.989us         1.25%     809.989us      53.999us            15
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     779.855us         1.20%     779.855us       1.345us           580
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     498.768us         0.77%     498.768us       1.467us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     472.097us         0.73%     472.097us       1.389us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     464.624us         0.72%     464.624us       1.452us           320
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     279.082us         0.43%     279.082us       0.607us           460
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     265.856us         0.41%     265.856us       0.691us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     234.567us         0.36%     234.567us       1.466us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     207.363us         0.32%     207.363us       1.296us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     204.573us         0.32%     204.573us       1.279us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     197.934us         0.31%     197.934us       0.574us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     187.936us         0.29%     187.936us       1.212us           155
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     173.021us         0.27%     173.021us       1.081us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     159.934us         0.25%     159.934us       1.333us           120
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.878us         0.21%     134.878us       0.843us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.009us         0.21%     134.009us       0.838us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.638us         0.20%     132.638us       0.829us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 68.157ms
Self CUDA time total: 64.822ms
