Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      10.885ms        30.54%      10.885ms      34.016us           320
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       5.390ms        15.12%       5.390ms      16.585us           325
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       3.620ms        10.16%       3.620ms       9.918us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.826ms         7.93%       2.826ms       8.310us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.969ms         5.52%       1.969ms       2.896us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.755ms         4.93%       1.755ms       9.753us           180
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       1.531ms         4.29%       1.531ms      12.756us           120
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     856.716us         2.40%     856.716us       5.354us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     772.279us         2.17%     772.279us      11.881us            65
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     565.939us         1.59%     565.939us       2.177us           260
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     493.882us         1.39%     493.882us       3.087us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     420.572us         1.18%     420.572us       0.876us           480
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     338.973us         0.95%     338.973us       0.997us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     286.839us         0.80%     286.839us       2.390us           120
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     258.166us         0.72%     258.166us       1.012us           255
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     255.257us         0.72%     255.257us       1.001us           255
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     247.132us         0.69%     247.132us       1.545us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     244.952us         0.69%     244.952us       0.875us           280
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.827us         0.68%     241.827us       0.628us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     232.255us         0.65%     232.255us       1.452us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     218.621us         0.61%     218.621us       1.366us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     216.733us         0.61%     216.733us       1.355us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     213.049us         0.60%     213.049us       1.332us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     211.674us         0.59%     211.674us       1.366us           155
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     207.548us         0.58%     207.548us       1.297us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.392us         0.56%     198.392us       0.575us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     178.270us         0.50%     178.270us      17.827us            10
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.599us         0.48%     169.599us       0.942us           180
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     148.094us         0.42%     148.094us      29.619us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.499us         0.37%     133.499us       0.834us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 37.317ms
Self CUDA time total: 35.641ms
