Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.542ms        50.58%      16.542ms      25.846us           640
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.814ms        11.66%       3.814ms      15.567us           245
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.840ms         8.68%       2.840ms      11.833us           240
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.732ms         8.35%       2.732ms      11.384us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.512ms         7.68%       2.512ms       7.387us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.970ms         6.02%       1.970ms       2.897us           680
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     596.862us         1.82%     596.862us       0.878us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     334.568us         1.02%     334.568us       0.984us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     316.202us         0.97%     316.202us       0.930us           340
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.358us         0.73%     240.358us       0.624us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     223.650us         0.68%     223.650us      14.910us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     194.658us         0.60%     194.658us       0.573us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.897us         0.33%     108.897us      21.779us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.240us         0.10%      34.240us       6.848us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.038us         0.07%      23.038us       1.152us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.913us         0.07%      22.913us       1.146us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.472us         0.07%      21.472us       1.074us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.512us         0.06%      20.512us       1.026us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.097us         0.06%      20.097us       1.005us            20
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.719us         0.05%      14.719us       2.944us             5
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.623us         0.04%      14.623us       0.731us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.663us         0.04%      13.663us       0.911us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.130us         0.04%      12.130us       0.606us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.424us         0.03%      11.424us       1.142us            10
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.784us         0.03%      10.784us       1.078us            10
                                            aten::copy_         0.11%      37.472us         0.97%     328.263us      32.826us      10.720us         0.03%      11.680us       1.168us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.03%      10.720us       1.072us            10
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us      10.238us         0.03%      10.238us       0.683us            15
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us       8.511us         0.03%       8.511us       0.567us            15
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us       8.385us         0.03%       8.385us       1.677us             5
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 33.968ms
Self CUDA time total: 32.706ms
