Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.550ms        44.25%      16.550ms      25.658us           645
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.869ms        10.34%       3.869ms      15.476us           250
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.832ms         7.57%       2.832ms      11.801us           240
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.710ms         7.25%       2.710ms      11.293us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.524ms         6.75%       2.524ms       7.423us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.972ms         5.27%       1.972ms       2.899us           680
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us       1.130ms         3.02%       1.130ms       7.061us           160
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     493.834us         1.32%     493.834us       3.086us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     421.297us         1.13%     421.297us       0.878us           480
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     388.613us         1.04%     388.613us       0.883us           440
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     339.972us         0.91%     339.972us       1.308us           260
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     337.735us         0.90%     337.735us       0.993us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     316.837us         0.85%     316.837us       0.932us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     254.849us         0.68%     254.849us       0.999us           255
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     253.863us         0.68%     253.863us       0.996us           255
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     248.042us         0.66%     248.042us       1.550us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.308us         0.65%     242.308us       0.629us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     232.359us         0.62%     232.359us       1.452us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     219.681us         0.59%     219.681us       1.373us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     218.152us         0.58%     218.152us       1.363us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     213.156us         0.57%     213.156us       1.375us           155
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     212.837us         0.57%     212.837us       1.330us           160
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     207.334us         0.55%     207.334us       1.296us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     199.649us         0.53%     199.649us       0.579us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     176.736us         0.47%     176.736us      17.674us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     148.706us         0.40%     148.706us      29.741us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.772us         0.35%     132.772us       0.830us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     129.509us         0.35%     129.509us       0.809us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.385us         0.35%     129.385us       0.809us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.028us         0.34%     129.028us       0.806us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 39.326ms
Self CUDA time total: 37.402ms
