Five graph replays; input copies/output clones included.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     141.246ms        33.56%     141.246ms     294.263us           480
void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     111.747ms        26.55%     111.747ms     232.806us           480
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x256_...         0.00%       0.000us         0.00%       0.000us       0.000us      71.865ms        17.08%      71.865ms     388.458us           185
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      42.996ms        10.22%      42.996ms     126.458us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us      13.013ms         3.09%      13.013ms      81.331us           160
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       8.056ms         1.91%       8.056ms     402.815us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       6.602ms         1.57%       6.602ms      19.418us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       4.991ms         1.19%       4.991ms       7.340us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       4.278ms         1.02%       4.278ms      71.299us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us       3.653ms         0.87%       3.653ms       5.372us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us       3.570ms         0.85%       3.570ms      10.500us           340
void precomputed_convolve_sgemm<float, 512, 6, 8, 3,...         0.00%       0.000us         0.00%       0.000us       0.000us       2.490ms         0.59%       2.490ms      15.094us           165
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     770.911us         0.18%     770.911us       1.134us           680
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     606.073us         0.14%     606.073us       0.628us           965
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     598.863us         0.14%     598.863us       0.881us           680
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     576.036us         0.14%     576.036us       1.694us           340
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     540.588us         0.13%     540.588us       0.611us           885
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     516.002us         0.12%     516.002us       1.134us           455
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     437.285us         0.10%     437.285us       0.643us           680
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     418.568us         0.10%     418.568us       1.231us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     394.748us         0.09%     394.748us       1.161us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     289.028us         0.07%     289.028us       0.850us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     282.817us         0.07%     282.817us       1.529us           185
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     262.593us         0.06%     262.593us       0.682us           385
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     223.683us         0.05%     223.683us       1.398us           160
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     172.544us         0.04%     172.544us       1.078us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     105.765us         0.03%     105.765us       0.641us           165
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.232us         0.01%      35.232us       1.762us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.079us         0.01%      30.079us       1.504us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.904us         0.01%      23.904us       1.195us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 426.471ms
Self CUDA time total: 420.867ms
