Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, fa...         0.00%       0.000us         0.00%       0.000us       0.000us      18.097ms        40.09%      18.097ms      28.277us           640
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       7.615ms        16.87%       7.615ms      15.864us           480
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.837ms         8.50%       3.837ms      11.989us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       2.761ms         6.12%       2.761ms      21.238us           130
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.548ms         5.64%       2.548ms       7.493us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.951ms         4.32%       1.951ms       2.870us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         3.95%       1.781ms      14.844us           120
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.001ms         2.22%       1.001ms       1.112us           900
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     754.803us         1.67%     754.803us       1.301us           580
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     598.122us         1.33%     598.122us       1.031us           580
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     546.305us         1.21%     546.305us       3.214us           170
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     425.288us         0.94%     425.288us       1.701us           250
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     346.467us         0.77%     346.467us       1.019us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     328.836us         0.73%     328.836us       0.967us           340
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     243.037us         0.54%     243.037us       1.519us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.692us         0.54%     241.692us       0.628us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     226.464us         0.50%     226.464us       1.415us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     226.427us         0.50%     226.427us       1.415us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     206.973us         0.46%     206.973us       0.647us           320
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.308us         0.44%     198.308us       0.575us           345
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.489us         0.32%     142.489us       0.891us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     134.207us         0.30%     134.207us       0.839us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.894us         0.29%     132.894us       0.831us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.500us         0.29%     129.500us       0.809us           160
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     113.979us         0.25%     113.979us       0.651us           175
                                                _update         0.00%       0.000us         0.00%       0.000us       0.000us     106.207us         0.24%     106.207us       0.685us           155
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     105.831us         0.23%     105.831us       0.882us           120
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     103.127us         0.23%     103.127us       0.589us           175
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      75.296us         0.17%      75.296us      15.059us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.268us         0.06%      27.268us       1.363us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 47.985ms
Self CUDA time total: 45.137ms
