Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      13.877ms        23.82%      13.877ms      40.223us           345
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      13.297ms        22.83%      13.297ms      34.992us           380
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       7.809ms        13.41%       7.809ms      22.968us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.604ms        13.05%       7.604ms      42.245us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.852ms         8.33%       4.852ms      14.272us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.019ms         3.47%       2.019ms       2.969us           680
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.656ms         2.84%       1.656ms       2.222us           745
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.453ms         2.49%       1.453ms      24.213us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     985.860us         1.69%     985.860us      16.431us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     804.964us         1.38%     804.964us      40.248us            20
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     705.082us         1.21%     705.082us       1.037us           680
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     501.538us         0.86%     501.538us       1.475us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     471.189us         0.81%     471.189us       1.386us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     431.389us         0.74%     431.389us       2.614us           165
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     365.369us         0.63%     365.369us       0.589us           620
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     265.823us         0.46%     265.823us       0.690us           385
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     225.247us         0.39%     225.247us       1.218us           185
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     193.435us         0.33%     193.435us       0.569us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     179.902us         0.31%     179.902us       1.028us           175
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     162.592us         0.28%     162.592us       1.016us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.412us         0.23%     133.412us       0.834us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     103.360us         0.18%     103.360us       0.626us           165
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.303us         0.05%      30.303us       1.515us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.246us         0.05%      29.246us       1.462us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.600us         0.04%      21.600us       1.080us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.578us         0.04%      20.578us       1.029us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.298us         0.03%      19.298us       0.965us            20
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      13.344us         0.02%      13.344us       0.667us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.458us         0.02%      11.458us       0.573us            20
                                            aten::copy_         0.06%      39.066us         0.62%     383.167us      38.317us       9.247us         0.02%      10.175us       1.017us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 61.465ms
Self CUDA time total: 58.254ms
