Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      24.193ms        52.09%      24.193ms      27.492us           880
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       5.883ms        12.67%       5.883ms      12.006us           490
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.523ms         9.74%       4.523ms      13.304us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.550ms         7.64%       3.550ms      21.513us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.955ms         4.21%       1.955ms       2.875us           680
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms         2.22%       1.031ms       2.105us           490
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     442.692us         0.95%     442.692us       1.042us           425
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     423.266us         0.91%     423.266us      42.327us            10
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     405.698us         0.87%     405.698us       0.922us           440
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     364.602us         0.79%     364.602us       1.072us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     363.747us         0.78%     363.747us       1.070us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     333.533us         0.72%     333.533us       1.283us           260
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     328.643us         0.71%     328.643us       2.054us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     276.837us         0.60%     276.837us       1.086us           255
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.606us         0.52%     240.606us       0.625us           385
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.154us         0.52%     240.154us       0.775us           310
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     224.323us         0.48%     224.323us       1.402us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     221.563us         0.48%     221.563us       1.385us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     215.110us         0.46%     215.110us       1.344us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     210.530us         0.45%     210.530us       1.358us           155
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.907us         0.43%     198.907us       0.577us           345
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.274us         0.29%     133.274us       0.833us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     132.830us         0.29%     132.830us       0.830us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     120.541us         0.26%     120.541us       0.753us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     119.929us         0.26%     119.929us       0.750us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     113.672us         0.24%     113.672us       0.689us           165
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us      30.336us         0.07%      30.336us       6.067us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.961us         0.06%      28.961us       1.448us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.746us         0.06%      27.746us       1.387us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.615us         0.05%      23.615us       1.181us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 48.555ms
Self CUDA time total: 46.446ms
