Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.007ms        51.20%      16.007ms      25.010us           640
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       3.602ms        11.52%       3.602ms       9.868us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       3.060ms         9.79%       3.060ms       9.000us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.964ms         6.28%       1.964ms       2.888us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.759ms         5.63%       1.759ms       9.773us           180
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       1.528ms         4.89%       1.528ms      12.735us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     743.617us         2.38%     743.617us      12.394us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     596.509us         1.91%     596.509us       0.877us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     334.149us         1.07%     334.149us       0.983us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     319.098us         1.02%     319.098us       0.939us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     287.331us         0.92%     287.331us       2.394us           120
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.326us         0.77%     240.326us       0.624us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     224.447us         0.72%     224.447us      14.963us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     194.858us         0.62%     194.858us       0.573us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.896us         0.35%     108.896us      21.779us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.817us         0.11%      34.817us       6.963us             5
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.767us         0.08%      24.767us       1.238us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.648us         0.08%      23.648us       1.182us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.974us         0.07%      22.974us       1.149us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.384us         0.07%      20.384us       1.019us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.288us         0.06%      20.288us       1.014us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.149us         0.05%      17.149us       1.143us            15
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.655us         0.05%      14.655us       2.931us             5
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.622us         0.05%      14.622us       0.731us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.704us         0.04%      12.704us       0.635us            20
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      11.680us         0.04%      11.680us       0.779us            15
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.520us         0.04%      11.520us       1.152us            10
                                            aten::copy_         0.12%      38.544us         1.11%     361.694us      36.169us      10.720us         0.03%      11.680us       1.168us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.720us         0.03%      10.720us       1.072us            10
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.688us         0.03%      10.688us       1.069us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 32.671ms
Self CUDA time total: 31.261ms
