Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.239ms        45.24%      16.239ms      25.177us           645
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       3.625ms        10.10%       3.625ms       9.932us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.532ms         7.05%       2.532ms       7.447us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.231ms         6.22%       2.231ms       3.281us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.762ms         4.91%       1.762ms       9.789us           180
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       1.529ms         4.26%       1.529ms      12.742us           120
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     864.999us         2.41%     864.999us       5.406us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     772.293us         2.15%     772.293us      11.881us            65
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     645.221us         1.80%     645.221us       1.344us           480
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     493.311us         1.37%     493.311us       3.083us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     388.606us         1.08%     388.606us       0.883us           440
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     339.907us         0.95%     339.907us       1.307us           260
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     337.800us         0.94%     337.800us       0.994us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     318.210us         0.89%     318.210us       0.936us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     287.745us         0.80%     287.745us       2.398us           120
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     258.940us         0.72%     258.940us       1.015us           255
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     255.068us         0.71%     255.068us       1.000us           255
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     249.568us         0.70%     249.568us       1.560us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.087us         0.67%     242.087us       0.629us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     233.927us         0.65%     233.927us       1.462us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     219.301us         0.61%     219.301us       1.371us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     217.828us         0.61%     217.828us       1.361us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     213.539us         0.59%     213.539us       1.378us           155
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     212.704us         0.59%     212.704us       1.329us           160
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     207.768us         0.58%     207.768us       1.299us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.751us         0.55%     198.751us       0.576us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     177.952us         0.50%     177.952us      17.795us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     151.970us         0.42%     151.970us      30.394us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.631us         0.37%     132.631us       0.829us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     129.599us         0.36%     129.599us       0.810us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 37.653ms
Self CUDA time total: 35.893ms
