Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      10.931ms        35.63%      10.931ms      34.160us           320
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       5.695ms        18.56%       5.695ms      17.796us           320
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       3.618ms        11.79%       3.618ms       9.912us           365
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.774ms         9.04%       2.774ms       8.159us           340
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.773ms         5.78%       1.773ms       9.851us           180
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       1.531ms         4.99%       1.531ms      12.757us           120
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.314ms         4.28%       1.314ms       1.932us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     746.789us         2.43%     746.789us      12.446us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     454.053us         1.48%     454.053us       0.873us           520
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     334.280us         1.09%     334.280us       0.983us           340
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     287.457us         0.94%     287.457us       2.395us           120
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.452us         0.78%     240.452us       0.625us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     222.882us         0.73%     222.882us      14.859us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.676us         0.64%     195.676us       0.576us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     169.695us         0.55%     169.695us       0.943us           180
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.959us         0.36%     108.959us      21.792us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.272us         0.11%      34.272us       6.854us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.944us         0.07%      22.944us       1.147us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.909us         0.07%      22.909us       1.145us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.696us         0.07%      21.696us       1.085us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.939us         0.06%      19.939us       0.997us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      19.360us         0.06%      19.360us       0.968us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.377us         0.06%      17.377us       1.158us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.655us         0.05%      14.655us       0.733us            20
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.560us         0.05%      14.560us       2.912us             5
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.254us         0.04%      12.254us       0.613us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.263us         0.04%      11.263us       1.126us            10
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.817us         0.04%      10.817us       1.082us            10
                                            aten::copy_         0.12%      36.557us         1.02%     323.269us      32.327us      10.592us         0.03%      11.552us       1.155us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.592us         0.03%      10.592us       1.059us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 31.591ms
Self CUDA time total: 30.680ms
