Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                        norm_gemv_async         0.00%       0.000us         0.00%       0.000us       0.000us       9.923ms        34.07%       9.923ms      31.008us           320
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       7.037ms        24.16%       7.037ms      21.991us           320
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       3.181ms        10.92%       3.181ms      13.253us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.530ms         8.69%       2.530ms       7.441us           340
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.636ms         5.62%       1.636ms      13.636us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     746.022us         2.56%     746.022us      12.434us            60
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     627.368us         2.15%     627.368us      10.456us            60
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us     615.429us         2.11%     615.429us       1.710us           360
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     602.850us         2.07%     602.850us       9.275us            65
                                     _strided_ffn_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     591.299us         2.03%     591.299us       4.927us           120
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     334.813us         1.15%     334.813us       0.985us           340
                                     attention_residual         0.00%       0.000us         0.00%       0.000us       0.000us     253.251us         0.87%     253.251us       4.221us            60
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     239.270us         0.82%     239.270us       0.621us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     221.379us         0.76%     221.379us      14.759us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.804us         0.67%     195.804us       0.576us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     108.736us         0.37%     108.736us      21.747us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.082us         0.12%      34.082us       6.816us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.911us         0.08%      22.911us       1.146us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.816us         0.08%      22.816us       1.141us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.312us         0.07%      21.312us       1.066us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.964us         0.07%      19.964us       0.998us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      19.264us         0.07%      19.264us       0.963us            20
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      15.459us         0.05%      15.459us       0.773us            20
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.848us         0.05%      14.848us       2.970us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      13.824us         0.05%      13.824us       0.922us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.393us         0.04%      11.393us       0.570us            20
                                            aten::copy_         0.12%      36.810us         1.27%     380.550us      38.055us      10.812us         0.04%      11.772us       1.177us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.812us         0.04%      10.812us       1.081us            10
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.785us         0.04%      10.785us       1.079us            10
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.687us         0.04%      10.687us       1.069us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 30.047ms
Self CUDA time total: 29.122ms
