Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              norm_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      10.064ms        29.93%      10.064ms      31.451us           320
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       5.361ms        15.95%       5.361ms      33.508us           160
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.539ms         7.55%       2.539ms       7.469us           340
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.639ms         4.87%       1.639ms      13.656us           120
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.638ms         4.87%       1.638ms      13.647us           120
                                       strided_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.538ms         4.57%       1.538ms      12.815us           120
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       1.445ms         4.30%       1.445ms       8.759us           165
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.190ms         3.54%       1.190ms       6.434us           185
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     890.624us         2.65%     890.624us      14.844us            60
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     849.473us         2.53%     849.473us       5.309us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     775.196us         2.31%     775.196us      11.926us            65
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us     658.272us         1.96%     658.272us       1.829us           360
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     494.882us         1.47%     494.882us       3.093us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     420.197us         1.25%     420.197us       0.875us           480
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     337.981us         1.01%     337.981us       0.994us           340
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     248.066us         0.74%     248.066us       1.550us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     243.131us         0.72%     243.131us       0.632us           385
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us     234.594us         0.70%     234.594us       3.910us            60
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     233.341us         0.69%     233.341us       1.458us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     219.520us         0.65%     219.520us       1.372us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     217.124us         0.65%     217.124us       1.357us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     212.963us         0.63%     212.963us       1.331us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     212.195us         0.63%     212.195us       1.369us           155
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     208.486us         0.62%     208.486us       1.303us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     199.490us         0.59%     199.490us       0.578us           345
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     196.256us         0.58%     196.256us       0.892us           220
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     185.243us         0.55%     185.243us       1.323us           140
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     176.896us         0.53%     176.896us      17.690us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     148.672us         0.44%     148.672us      29.734us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     136.482us         0.41%     136.482us       1.011us           135
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 35.080ms
Self CUDA time total: 33.623ms
