Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.482ms        22.29%      14.482ms      41.975us           345
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      11.385ms        17.52%      11.385ms      35.579us           320
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       8.200ms        12.62%       8.200ms      16.400us           500
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.614ms        11.72%       7.614ms      42.298us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.807ms         7.40%       4.807ms      14.138us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.320ms         5.11%       3.320ms      20.123us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.002ms         3.08%       2.002ms       2.945us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.714ms         2.64%       1.714ms      28.567us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.538ms         2.37%       1.538ms       2.051us           750
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.457ms         2.24%       1.457ms      24.286us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     987.590us         1.52%     987.590us      16.460us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     914.332us         1.41%     914.332us       1.227us           745
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     886.055us         1.36%     886.055us       1.197us           740
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     808.352us         1.24%     808.352us      53.890us            15
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     777.378us         1.20%     777.378us       1.340us           580
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     496.864us         0.76%     496.864us       1.461us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     471.618us         0.73%     471.618us       1.387us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     465.026us         0.72%     465.026us       1.453us           320
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     285.189us         0.44%     285.189us       0.620us           460
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     264.488us         0.41%     264.488us       0.687us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     234.595us         0.36%     234.595us       1.466us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     206.813us         0.32%     206.813us       1.293us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     204.381us         0.31%     204.381us       1.277us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     197.094us         0.30%     197.094us       0.571us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     190.300us         0.29%     190.300us       1.228us           155
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     173.345us         0.27%     173.345us       1.083us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     160.318us         0.25%     160.318us       1.336us           120
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     134.499us         0.21%     134.499us       0.841us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.568us         0.21%     133.568us       0.835us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.572us         0.20%     132.572us       0.829us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 68.637ms
Self CUDA time total: 64.969ms
