Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      24.576ms        49.91%      24.576ms      25.600us           960
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.643ms        15.52%       7.643ms      42.459us           180
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.838ms         9.82%       4.838ms      14.230us           340
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       4.624ms         9.39%       4.624ms      21.019us           220
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.007ms         4.08%       2.007ms       2.952us           680
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.361ms         2.76%       1.361ms       2.126us           640
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     809.697us         1.64%     809.697us      40.485us            20
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     565.090us         1.15%     565.090us       1.087us           520
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     557.062us         1.13%     557.062us       1.955us           285
                                            _ffn_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     531.696us         1.08%     531.696us       1.662us           320
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     479.331us         0.97%     479.331us       1.410us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     311.232us         0.63%     311.232us       1.729us           180
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     247.069us         0.50%     247.069us       0.642us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     192.607us         0.39%     192.607us       0.566us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     117.313us         0.24%     117.313us      23.463us             5
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      75.423us         0.15%      75.423us       0.629us           120
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      38.752us         0.08%      38.752us       7.750us             5
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      33.056us         0.07%      33.056us       6.611us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.795us         0.06%      29.795us       1.490us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.705us         0.06%      28.705us       1.435us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      25.250us         0.05%      25.250us       1.010us            25
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.015us         0.04%      22.015us       1.101us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.599us         0.04%      21.599us       1.080us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.456us         0.04%      19.456us       0.973us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.634us         0.04%      17.634us       1.176us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      13.375us         0.03%      13.375us       0.669us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.553us         0.02%      11.553us       0.578us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.115us         0.02%      10.115us       1.011us            10
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       9.856us         0.02%       9.856us       1.971us             5
                                            aten::copy_         0.08%      38.463us         0.66%     335.724us      33.572us       9.345us         0.02%      10.305us       1.031us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 51.067ms
Self CUDA time total: 49.244ms
