Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us      25.747ms        44.48%      25.747ms      26.819us           960
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.640ms        13.20%       7.640ms      42.447us           180
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       4.935ms         8.53%       4.935ms      12.986us           380
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.572ms         7.90%       4.572ms      13.449us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.602ms         6.22%       3.602ms      21.828us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.010ms         3.47%       2.010ms       2.956us           680
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.853ms         3.20%       1.853ms       1.930us           960
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     888.542us         1.54%     888.542us       1.201us           740
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     871.986us         1.51%     871.986us       1.170us           745
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     806.438us         1.39%     806.438us      53.763us            15
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     785.385us         1.36%     785.385us       1.354us           580
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     748.905us         1.29%     748.905us       1.664us           450
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     495.841us         0.86%     495.841us       1.458us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     473.016us         0.82%     473.016us       1.391us           340
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     247.232us         0.43%     247.232us       0.642us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     233.128us         0.40%     233.128us       1.457us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     210.876us         0.36%     210.876us       1.318us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     204.031us         0.35%     204.031us       1.275us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.834us         0.34%     196.834us       0.571us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     188.474us         0.33%     188.474us       1.216us           155
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     173.917us         0.30%     173.917us       1.087us           160
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     163.430us         0.28%     163.430us       1.362us           120
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.379us         0.23%     133.379us       0.834us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.085us         0.23%     133.085us       0.832us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     132.889us         0.23%     132.889us       0.831us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     113.085us         0.20%     113.085us       0.685us           165
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us      79.430us         0.14%      79.430us       0.662us           120
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      51.265us         0.09%      51.265us      10.253us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      30.173us         0.05%      30.173us       1.509us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.150us         0.05%      29.150us       1.457us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 60.029ms
Self CUDA time total: 57.885ms
