Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      14.108ms        24.34%      14.108ms      40.892us           345
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      13.304ms        22.96%      13.304ms      35.011us           380
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us       7.966ms        13.75%       7.966ms      44.256us           180
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       7.861ms        13.57%       7.861ms      23.121us           340
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.882ms         8.42%       4.882ms      14.359us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       2.023ms         3.49%       2.023ms       2.974us           680
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.666ms         2.87%       1.666ms       2.236us           745
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.462ms         2.52%       1.462ms      24.368us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     982.499us         1.70%     982.499us      16.375us            60
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     807.490us         1.39%     807.490us      40.374us            20
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     710.789us         1.23%     710.789us       1.045us           680
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     503.068us         0.87%     503.068us       1.480us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     473.605us         0.82%     473.605us       1.393us           340
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     366.849us         0.63%     366.849us       0.592us           620
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     266.699us         0.46%     266.699us       0.693us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     193.758us         0.33%     193.758us       0.570us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     106.048us         0.18%     106.048us      21.210us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      37.856us         0.07%      37.856us       7.571us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.761us         0.05%      29.761us       1.488us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.738us         0.05%      28.738us       1.437us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.127us         0.04%      24.127us       0.965us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.729us         0.04%      21.729us       1.086us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.446us         0.04%      20.446us       1.022us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      19.423us         0.03%      19.423us       0.971us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      17.983us         0.03%      17.983us       1.199us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      13.282us         0.02%      13.282us       0.664us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.615us         0.02%      11.615us       0.581us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.600us         0.02%       9.600us       0.960us            10
                                            aten::copy_         0.07%      40.244us         0.59%     360.090us      36.009us       9.247us         0.02%      10.239us       1.024us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us       9.247us         0.02%       9.247us       0.925us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 60.976ms
Self CUDA time total: 57.951ms
