Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                        norm_gemv_async         0.00%       0.000us         0.00%       0.000us       0.000us       9.600ms        33.31%       9.600ms      30.001us           320
                                    residual_gemv_async         0.00%       0.000us         0.00%       0.000us       0.000us       5.294ms        18.37%       5.294ms      33.088us           160
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       3.182ms        11.04%       3.182ms      13.257us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.538ms         8.81%       2.538ms       7.465us           340
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.964ms         6.81%       1.964ms      16.367us           120
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       1.398ms         4.85%       1.398ms       8.739us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     748.197us         2.60%     748.197us      12.470us            60
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     628.770us         2.18%     628.770us      10.479us            60
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us     615.242us         2.13%     615.242us       1.709us           360
                                     _strided_ffn_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     610.306us         2.12%     610.306us       5.086us           120
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     603.970us         2.10%     603.970us       9.292us            65
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     337.379us         1.17%     337.379us       0.992us           340
                                     attention_residual         0.00%       0.000us         0.00%       0.000us       0.000us     253.249us         0.88%     253.249us       4.221us            60
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     239.678us         0.83%     239.678us       0.623us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     221.089us         0.77%     221.089us      14.739us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.607us         0.68%     196.607us       0.578us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     107.649us         0.37%     107.649us      21.530us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      34.912us         0.12%      34.912us       6.982us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.167us         0.08%      23.167us       1.158us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.040us         0.08%      23.040us       1.152us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.344us         0.07%      21.344us       1.067us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.350us         0.07%      20.350us       1.017us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      19.488us         0.07%      19.488us       0.974us            20
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      15.650us         0.05%      15.650us       0.783us            20
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.400us         0.05%      14.400us       2.880us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.047us         0.05%      14.047us       0.936us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      11.680us         0.04%      11.680us       0.584us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.075us         0.04%      11.075us       1.107us            10
                                            aten::copy_         0.13%      37.613us         1.19%     356.855us      35.685us      10.912us         0.04%      11.872us       1.187us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.912us         0.04%      10.912us       1.091us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 29.900ms
Self CUDA time total: 28.820ms
