Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                        norm_gemv_async         0.00%       0.000us         0.00%       0.000us       0.000us       9.853ms        30.73%       9.853ms      30.789us           320
                                    residual_gemv_async         0.00%       0.000us         0.00%       0.000us       0.000us       5.287ms        16.49%       5.287ms      33.043us           160
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.764ms         8.62%       2.764ms       8.131us           340
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       1.644ms         5.13%       1.644ms      13.702us           120
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.638ms         5.11%       1.638ms      13.652us           120
                                       strided_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       1.542ms         4.81%       1.542ms      12.851us           120
                                              _ffn_gemv         0.00%       0.000us         0.00%       0.000us       0.000us       1.402ms         4.37%       1.402ms       8.760us           160
void fft1d_r2c_32<float, float, float2, true, false>...         0.00%       0.000us         0.00%       0.000us       0.000us     840.135us         2.62%     840.135us       5.251us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     777.988us         2.43%     777.988us      11.969us            65
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us     651.231us         2.03%     651.231us       1.809us           360
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us     632.740us         1.97%     632.740us      10.546us            60
                                     _strided_ffn_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     610.820us         1.91%     610.820us       5.090us           120
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us     605.444us         1.89%     605.444us       9.315us            65
void fft1d_r2c_32<float, float, float2, false, false...         0.00%       0.000us         0.00%       0.000us       0.000us     493.734us         1.54%     493.734us       3.086us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     422.433us         1.32%     422.433us       0.880us           480
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     333.575us         1.04%     333.575us       0.981us           340
                                     attention_residual         0.00%       0.000us         0.00%       0.000us       0.000us     249.056us         0.78%     249.056us       4.151us            60
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     246.817us         0.77%     246.817us       1.543us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     240.290us         0.75%     240.290us       0.624us           385
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     231.871us         0.72%     231.871us       1.449us           160
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     219.139us         0.68%     219.139us       1.370us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     212.739us         0.66%     212.739us       1.373us           155
void fft1d_c2r_32<float2, float, float, false, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     208.317us         0.65%     208.317us       1.302us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     199.110us         0.62%     199.110us       0.577us           345
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     180.066us         0.56%     180.066us      18.007us            10
                                      quantizer_prepare         0.00%       0.000us         0.00%       0.000us       0.000us     175.805us         0.55%     175.805us       1.099us           160
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     149.922us         0.47%     149.922us      29.984us             5
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      28.513us         0.09%      28.513us       5.703us             5
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.927us         0.08%      24.927us       1.246us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.775us         0.07%      23.775us       1.189us            20
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 33.652ms
Self CUDA time total: 32.058ms
