Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                            _small_gemv         0.00%       0.000us         0.00%       0.000us       0.000us      16.251ms        51.98%      16.251ms      25.391us           640
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       2.831ms         9.06%       2.831ms       9.283us           305
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.531ms         8.10%       2.531ms       7.444us           340
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       2.262ms         7.23%       2.262ms      12.565us           180
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.964ms         6.28%       1.964ms       2.889us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       1.755ms         5.61%       1.755ms       9.748us           180
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     747.038us         2.39%     747.038us      12.451us            60
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     617.847us         1.98%     617.847us       3.432us           180
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     597.210us         1.91%     597.210us       0.878us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     333.339us         1.07%     333.339us       0.980us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     318.071us         1.02%     318.071us       0.936us           340
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.276us         0.77%     241.276us       0.627us           385
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     221.948us         0.71%     221.948us      14.797us            15
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.223us         0.62%     195.223us       0.574us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     112.671us         0.36%     112.671us      22.534us             5
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      35.456us         0.11%      35.456us       7.091us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      23.459us         0.08%      23.459us       1.173us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.977us         0.07%      22.977us       1.149us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.439us         0.07%      21.439us       1.072us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      20.705us         0.07%      20.705us       1.035us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.256us         0.06%      20.256us       1.013us            20
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.766us         0.05%      16.766us       1.118us            15
                                                _decode         0.00%       0.000us         0.00%       0.000us       0.000us      14.720us         0.05%      14.720us       2.944us             5
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.561us         0.05%      14.561us       0.728us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.160us         0.04%      12.160us       0.608us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.424us         0.04%      11.424us       1.142us            10
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.848us         0.03%      10.848us       1.085us            10
                                            aten::copy_         0.12%      38.030us         1.06%     344.965us      34.497us      10.592us         0.03%      11.552us       1.155us            10
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.592us         0.03%      10.592us       1.059us            10
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us      10.240us         0.03%      10.240us       0.683us            15
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 32.431ms
Self CUDA time total: 31.264ms
