Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      19.568ms        38.00%      19.568ms      30.575us           640
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us       6.794ms        13.19%       6.794ms      27.175us           250
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.235ms        10.17%       5.235ms      13.087us           400
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       4.514ms         8.77%       4.514ms      13.275us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.287ms         6.38%       3.287ms      19.924us           165
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.956ms         3.80%       1.956ms       2.876us           680
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       1.825ms         3.55%       1.825ms      15.212us           120
void sgemm_largek_lds64<true, false, 5, 5, 4, 4, 4, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.706ms         3.31%       1.706ms      28.439us            60
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     922.351us         1.79%     922.351us       2.145us           430
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us     615.516us         1.20%     615.516us      10.259us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     429.434us         0.83%     429.434us       1.010us           425
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     423.803us         0.82%     423.803us      42.380us            10
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     402.519us         0.78%     402.519us       0.915us           440
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     367.301us         0.71%     367.301us       1.080us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     362.979us         0.70%     362.979us       1.068us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     333.184us         0.65%     333.184us       1.281us           260
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     278.657us         0.54%     278.657us       1.093us           255
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.759us         0.47%     241.759us       0.628us           385
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.241us         0.47%     241.241us       0.778us           310
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     224.120us         0.44%     224.120us       1.401us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     217.440us         0.42%     217.440us       1.359us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     214.371us         0.42%     214.371us       1.340us           160
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     210.016us         0.41%     210.016us       1.355us           155
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.644us         0.38%     196.644us       0.570us           345
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     133.567us         0.26%     133.567us       0.835us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.181us         0.26%     133.181us       0.832us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     122.106us         0.24%     122.106us       0.763us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     121.816us         0.24%     121.816us       0.761us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     113.626us         0.22%     113.626us       0.689us           165
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us      56.476us         0.11%      56.476us       0.941us            60
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 53.791ms
Self CUDA time total: 51.492ms
