Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      15.222ms        43.80%      15.222ms      21.141us           720
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       5.875ms        16.91%       5.875ms      36.719us           160
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       3.105ms         8.93%       3.105ms      12.937us           240
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.642ms         7.60%       2.642ms      11.010us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.554ms         7.35%       2.554ms       7.511us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.946ms         5.60%       1.946ms       2.862us           680
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     590.045us         1.70%     590.045us       0.868us           680
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     575.786us         1.66%     575.786us       2.399us           240
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     418.497us         1.20%     418.497us       2.616us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     363.399us         1.05%     363.399us       1.069us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     345.190us         0.99%     345.190us       1.015us           340
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     243.871us         0.70%     243.871us       0.633us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     195.594us         0.56%     195.594us       0.575us           340
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     184.001us         0.53%     184.001us      18.400us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     102.176us         0.29%     102.176us      20.435us             5
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      56.129us         0.16%      56.129us      11.226us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      28.992us         0.08%      28.992us       5.798us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.040us         0.08%      27.040us       1.352us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.242us         0.08%      26.242us       1.312us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      25.984us         0.07%      25.984us       5.197us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.385us         0.07%      24.385us       0.975us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.039us         0.07%      23.039us       1.152us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.824us         0.06%      21.824us       1.091us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.094us         0.06%      20.094us       1.005us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      17.439us         0.05%      17.439us       3.488us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.542us         0.05%      16.542us       1.103us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      15.233us         0.04%      15.233us       0.762us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.034us         0.03%      12.034us       0.602us            20
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.775us         0.03%      11.775us       1.177us            10
                                            aten::copy_         0.12%      43.362us         0.99%     357.824us      35.782us      10.975us         0.03%      11.903us       1.190us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 35.967ms
Self CUDA time total: 34.749ms
