Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      14.868ms        36.79%      14.868ms      20.650us           720
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       5.529ms        13.68%       5.529ms      34.557us           160
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.280ms         8.12%       3.280ms      19.882us           165
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       2.871ms         7.11%       2.871ms      11.963us           240
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.636ms         6.52%       2.636ms      10.983us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.558ms         6.33%       2.558ms       7.524us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.949ms         4.82%       1.949ms       2.866us           680
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     771.072us         1.91%     771.072us       1.035us           745
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     753.404us         1.86%     753.404us       1.299us           580
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     605.982us         1.50%     605.982us       1.045us           580
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     534.727us         1.32%     534.727us       3.145us           170
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us     417.923us         1.03%     417.923us       2.612us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     361.255us         0.89%     361.255us       1.063us           340
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     345.145us         0.85%     345.145us       1.015us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     315.178us         0.78%     315.178us       1.313us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     239.936us         0.59%     239.936us       0.623us           385
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     237.722us         0.59%     237.722us       1.486us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     237.350us         0.59%     237.350us       1.483us           160
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     226.078us         0.56%     226.078us       1.413us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.184us         0.49%     198.184us       0.574us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     196.003us         0.49%     196.003us       1.265us           155
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     142.462us         0.35%     142.462us       0.890us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     133.572us         0.33%     133.572us       0.835us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     131.747us         0.33%     131.747us       0.823us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     130.120us         0.32%     130.120us       0.813us           160
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     114.656us         0.28%     114.656us       0.655us           175
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     113.767us         0.28%     113.767us       0.689us           165
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     107.233us         0.27%     107.233us       0.894us           120
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     103.005us         0.25%     103.005us       0.589us           175
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      75.136us         0.19%      75.136us      15.027us             5
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 43.460ms
Self CUDA time total: 40.408ms
