Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_parts         0.00%       0.000us         0.00%       0.000us       0.000us       6.457ms        18.35%       6.457ms      29.349us           220
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       6.142ms        17.45%       6.142ms      14.624us           420
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       5.825ms        16.55%       5.825ms      18.203us           320
                                         _small_grouped         0.00%       0.000us         0.00%       0.000us       0.000us       5.766ms        16.38%       5.766ms      36.040us           160
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.642ms         7.51%       2.642ms      11.008us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.550ms         7.25%       2.550ms       7.501us           340
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.948ms         5.54%       1.948ms       2.865us           680
                                          _small_reduce         0.00%       0.000us         0.00%       0.000us       0.000us       1.152ms         3.27%       1.152ms       5.236us           220
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     591.358us         1.68%     591.358us       0.870us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     346.466us         0.98%     346.466us       1.019us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     344.965us         0.98%     344.965us       1.015us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     314.904us         0.89%     314.904us       1.312us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     244.418us         0.69%     244.418us       0.635us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.289us         0.56%     196.289us       0.577us           340
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     183.424us         0.52%     183.424us      18.342us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     102.272us         0.29%     102.272us      20.454us             5
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      55.744us         0.16%      55.744us      11.149us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      30.144us         0.09%      30.144us       6.029us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.040us         0.08%      27.040us       1.352us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.781us         0.08%      26.781us       1.339us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      26.400us         0.08%      26.400us       5.280us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.162us         0.07%      24.162us       0.966us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      23.393us         0.07%      23.393us       1.170us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.122us         0.06%      21.122us       1.056us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.323us         0.06%      20.323us       1.016us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      17.504us         0.05%      17.504us       3.501us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.386us         0.05%      16.386us       1.092us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.688us         0.04%      14.688us       0.734us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.800us         0.04%      12.800us       0.640us            20
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.712us         0.03%      11.712us       1.171us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 36.307ms
Self CUDA time total: 35.195ms
