Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 2, 2, tr...         0.00%       0.000us         0.00%       0.000us       0.000us      17.299ms        29.71%      17.299ms      21.623us           800
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us      15.481ms        26.59%      15.481ms      45.533us           340
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 8, 9, fa...         0.00%       0.000us         0.00%       0.000us       0.000us       8.828ms        15.16%       8.828ms      18.017us           490
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.616ms         6.21%       3.616ms      10.958us           330
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 4, 4, tr...         0.00%       0.000us         0.00%       0.000us       0.000us       2.849ms         4.89%       2.849ms      11.872us           240
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       1.955ms         3.36%       1.955ms       2.875us           680
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.003ms         1.72%       1.003ms       1.102us           910
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     926.060us         1.59%     926.060us       1.929us           480
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     524.334us         0.90%     524.334us       0.819us           640
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     428.357us         0.74%     428.357us      42.836us            10
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     386.434us         0.66%     386.434us       0.878us           440
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     362.089us         0.62%     362.089us       2.263us           160
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     352.920us         0.61%     352.920us       0.980us           360
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     345.433us         0.59%     345.433us       0.960us           360
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     339.496us         0.58%     339.496us       0.999us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     337.638us         0.58%     337.638us       1.299us           260
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     319.688us         0.55%     319.688us       0.940us           340
                                                 _write         0.00%       0.000us         0.00%       0.000us       0.000us     318.091us         0.55%     318.091us       0.936us           340
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     268.233us         0.46%     268.233us       1.052us           255
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     265.401us         0.46%     265.401us       0.727us           365
                                               _advance         0.00%       0.000us         0.00%       0.000us       0.000us     264.107us         0.45%     264.107us       0.777us           340
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     254.021us         0.44%     254.021us       1.588us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     222.345us         0.38%     222.345us       1.390us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     219.684us         0.38%     219.684us       1.373us           160
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     215.778us         0.37%     215.778us       0.654us           330
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.510us         0.23%     133.510us       0.834us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     130.916us         0.22%     130.916us       0.818us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     130.115us         0.22%     130.115us       0.813us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     129.948us         0.22%     129.948us       0.812us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     128.677us         0.22%     128.677us       0.804us           160
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 62.176ms
Self CUDA time total: 58.232ms
