Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _short_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       7.599ms        24.08%       7.599ms      27.139us           280
                                         short_ffn_cuda         0.00%       0.000us         0.00%       0.000us       0.000us       7.054ms        22.35%       7.054ms      25.192us           280
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us       6.085ms        19.28%       6.085ms      16.014us           380
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.638ms         8.36%       2.638ms      10.993us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.559ms         8.11%       2.559ms       7.526us           340
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.305ms         4.13%       1.305ms       1.919us           680
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us     984.680us         3.12%     984.680us       8.206us           120
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     912.871us         2.89%     912.871us      15.215us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     353.625us         1.12%     353.625us       0.884us           400
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     342.148us         1.08%     342.148us       1.006us           340
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     334.883us         1.06%     334.883us      66.977us             5
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     314.052us         1.00%     314.052us       1.309us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     245.635us         0.78%     245.635us       0.638us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.360us         0.62%     196.360us       0.578us           340
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     183.777us         0.58%     183.777us      18.378us            10
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.827us         0.21%      65.827us       1.097us            60
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      55.968us         0.18%      55.968us      11.194us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      29.760us         0.09%      29.760us       5.952us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.882us         0.09%      26.882us       1.344us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.689us         0.08%      26.689us       1.334us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      26.336us         0.08%      26.336us       5.267us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.448us         0.08%      24.448us       0.978us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.945us         0.07%      22.945us       1.147us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.152us         0.07%      21.152us       1.058us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.512us         0.06%      20.512us       1.026us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      17.344us         0.05%      17.344us       3.469us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.255us         0.05%      16.255us       1.084us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      14.624us         0.05%      14.624us       0.731us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.705us         0.04%      12.705us       0.635us            20
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.648us         0.04%      11.648us       1.165us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 32.572ms
Self CUDA time total: 31.562ms
