Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      13.657ms        42.44%      13.657ms      20.692us           660
                                               wide_cta         0.00%       0.000us         0.00%       0.000us       0.000us       6.632ms        20.61%       6.632ms      30.145us           220
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.639ms         8.20%       2.639ms      10.994us           240
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.559ms         7.95%       2.559ms       7.526us           340
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       1.781ms         5.54%       1.781ms       9.897us           180
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.299ms         4.04%       1.299ms       1.910us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     914.718us         2.84%     914.718us      15.245us            60
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     593.566us         1.84%     593.566us       0.873us           680
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     344.569us         1.07%     344.569us       1.013us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     331.126us         1.03%     331.126us       0.974us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     314.052us         0.98%     314.052us       1.309us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     244.299us         0.76%     244.299us       0.635us           385
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     196.575us         0.61%     196.575us       0.578us           340
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     182.880us         0.57%     182.880us      18.288us            10
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us     103.264us         0.32%     103.264us      20.653us             5
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      56.224us         0.17%      56.224us      11.245us             5
                                         _decode_tokens         0.00%       0.000us         0.00%       0.000us       0.000us      29.056us         0.09%      29.056us       5.811us             5
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.010us         0.08%      27.010us       1.350us            20
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      26.528us         0.08%      26.528us       1.326us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      26.049us         0.08%      26.049us       5.210us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      24.224us         0.08%      24.224us       0.969us            25
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      22.432us         0.07%      22.432us       1.122us            20
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.410us         0.07%      21.410us       1.070us            20
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      20.831us         0.06%      20.831us       1.042us            20
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      17.504us         0.05%      17.504us       3.501us             5
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      16.480us         0.05%      16.480us       1.099us            15
                                                  _mask         0.00%       0.000us         0.00%       0.000us       0.000us      15.202us         0.05%      15.202us       0.760us            20
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      12.416us         0.04%      12.416us       0.621us            20
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      11.712us         0.04%      11.712us       1.171us            10
                                            aten::copy_         0.14%      45.206us         1.15%     384.445us      38.444us      10.946us         0.03%      12.002us       1.200us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 33.361ms
Self CUDA time total: 32.178ms
