Five graph replays; input copies/output clones included. Streaming profiles use a filled ring.
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
                                           _small_fixed         0.00%       0.000us         0.00%       0.000us       0.000us      13.707ms        34.99%      13.707ms      20.768us           660
                                               wide_cta         0.00%       0.000us         0.00%       0.000us       0.000us       6.583ms        16.81%       6.583ms      29.925us           220
void precomputed_convolve_sgemm<float, 1024, 5, 5, 4...         0.00%       0.000us         0.00%       0.000us       0.000us       3.284ms         8.38%       3.284ms      19.901us           165
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us       2.856ms         7.29%       2.856ms       8.399us           340
                                              _partials         0.00%       0.000us         0.00%       0.000us       0.000us       2.636ms         6.73%       2.636ms      10.983us           240
                                              cta_tiled         0.00%       0.000us         0.00%       0.000us       0.000us       1.789ms         4.57%       1.789ms       9.937us           180
                                             layer_norm         0.00%       0.000us         0.00%       0.000us       0.000us       1.669ms         4.26%       1.669ms       2.454us           680
void gemmSN_TN_kernel<float, 128, 16, 2, 4, 6, 7, fa...         0.00%       0.000us         0.00%       0.000us       0.000us     912.319us         2.33%     912.319us      15.205us            60
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     805.028us         2.06%     805.028us       1.081us           745
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     754.259us         1.93%     754.259us       1.300us           580
void sgemm_largek_lds64<true, true, 6, 3, 4, 5, 2, 6...         0.00%       0.000us         0.00%       0.000us       0.000us     541.022us         1.38%     541.022us       3.182us           170
                                                _rotate         0.00%       0.000us         0.00%       0.000us       0.000us     346.565us         0.88%     346.565us       1.019us           340
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     331.935us         0.85%     331.935us       0.976us           340
                                                _reduce         0.00%       0.000us         0.00%       0.000us       0.000us     313.620us         0.80%     313.620us       1.307us           240
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.623us         0.62%     242.623us       0.630us           385
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     239.135us         0.61%     239.135us       1.495us           160
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     232.907us         0.59%     232.907us       1.456us           160
                                                _select         0.00%       0.000us         0.00%       0.000us       0.000us     226.458us         0.58%     226.458us       1.415us           160
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us     198.682us         0.51%     198.682us       0.576us           345
                                        _project_update         0.00%       0.000us         0.00%       0.000us       0.000us     194.971us         0.50%     194.971us       1.258us           155
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.680us         0.37%     143.680us       0.898us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     133.765us         0.34%     133.765us       0.836us           160
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     132.357us         0.34%     132.357us       0.827us           160
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     130.206us         0.33%     130.206us       0.814us           160
void scal_kernel<float, float, 1, true, 6, 5, 5, 3>(...         0.00%       0.000us         0.00%       0.000us       0.000us     115.584us         0.30%     115.584us       0.660us           175
void cudnn::cnn::kern_precompute_indices<false>(int*...         0.00%       0.000us         0.00%       0.000us       0.000us     113.916us         0.29%     113.916us       0.690us           165
                                             _scale_add         0.00%       0.000us         0.00%       0.000us       0.000us     108.223us         0.28%     108.223us       0.902us           120
                                       Memset (Unknown)         0.00%       0.000us         0.00%       0.000us       0.000us     103.807us         0.27%     103.807us       0.593us           175
void sgemm_largek_lds64<true, true, 5, 5, 4, 4, 4, 3...         0.00%       0.000us         0.00%       0.000us       0.000us      75.391us         0.19%      75.391us      15.078us             5
void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x...         0.00%       0.000us         0.00%       0.000us       0.000us      51.840us         0.13%      51.840us       5.184us            10
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------
Self CPU time total: 41.873ms
Self CUDA time total: 39.168ms
